Country,2000_value,2001_value,2002_value,2003_value,2004_value,2005_value,2006_value,2007_value,2008_value,2009_value,2010_value,2011_value,2012_value,2013_value,2014_value,2015_value,2016_value,2017_value,2018_value,2019_value
Italy,0.2,0.69,1.49,3.91,8.15,11.71,14.51,17.23,19.14,20.45,22.08,22.69,22.99,23.29,23.81,24.6,25.66,27.34,28.14,28.7
Jamaica,,0.12,0.33,0.33,0.99,1.64,2.48,3.35,3.5,4.01,4.15,4.19,4.33,4.93,5.27,7.92,9.84,8.19,9.7,10.78
Japan,0.67,3,7.35,11.65,15.25,18.16,20.59,22.03,23.43,25.56,26.53,27.78,28.14,28.77,29.48,30.37,31.16,31.79,32.62,
Jersey,,,,,,,,,,,,,,,,,,,,
Jordan,,0.01,0.06,0.09,0.19,0.41,0.81,1.42,2.22,3.45,4.04,3.87,3.71,3.85,3.94,3.34,3.11,3.39,4.01,4.65
Kazakhstan,,,,0.01,0.01,0.02,0.2,1.72,2.13,3.6,5.35,7.24,9.77,11.5,12.41,13.09,13.18,14.25,13.44,13.21
Kenya,,,,,,0.01,0.05,0.05,0.01,0.04,0.02,0.13,0.12,0.16,0.22,0.28,0.27,0.57,0.72,0.93
Kiribati,,,,,,0.35,0.43,0.52,0.69,0.76,0.82,0.81,0.75,0.65,0.46,0.11,0.06,0.07,0.07,0.06
Korea (Rep. of),8.17,16.39,21.68,23.16,24.58,25.03,28.73,30,31.46,33.13,34.7,35.87,36.46,37.22,37.94,39.4,40.32,41.48,41.6,42.76
Kosovo,,,,,,,,,,,,,,,,,,,,
Kuwait,,0.24,0.49,0.6,0.91,1.1,1.26,1.4,1.51,1.6,1.54,1.48,1.4,1.33,1.3,1.43,2.56,2.9,2.51,2.01
Kyrgyzstan,,,0,0,0.04,0.05,0.05,0.06,0.36,0.33,0.43,0.71,0.97,2.38,2.92,3.55,3.97,4.17,3.98,4.19
Lao P.D.R.,,,,0,0,0.01,0.01,0.02,0.05,0.07,0.09,0.1,0.12,0.14,0.17,0.18,0.36,0.39,0.64,1.06
Latvia,0.01,0.14,0.43,0.85,2.16,2.7,4.93,15.4,18.98,21.2,20.52,21.85,23.01,24.25,24.98,25.2,26.3,26.97,27.28,26.69
Lebanon,,,0,0,0,0,0,1.05,2.1,4.09,6.68,7.73,8.6,8.12,18.08,,,,,6.13
Lesotho,,,,,0,0,,0.01,0.01,0.02,0.02,0.07,0.08,0.11,0.07,0.1,0.11,0.23,0.27,
Liberia,,,,,,,,,0,0,0,0,0.01,0.12,0.14,0.16,0.17,0.19,,
Libya,,,,,,,,,0.76,1.03,1.17,1.12,1.07,1.02,0.99,0.95,2.6,4.83,,
Liechtenstein,,,4.24,4.39,13.76,24.82,28.6,40.32,43.84,44.74,42.37,37.46,39.37,40.66,41.94,41.89,42.32,43,44.08,45.37
Lithuania,,0.07,0.58,1.96,3.82,7,11.16,17.15,18.37,20.01,21.75,23.6,25.25,27.79,26.99,28.42,29.68,28.07,28.16,28.69
Luxembourg,,0.28,1.31,3.43,8.08,15.31,21.25,27.1,29.5,31.44,33.15,32.69,31.97,32.53,33.69,34.46,35.06,36.26,37.12,37.37
"Macao, China",0.87,2.24,3.78,6.04,9.59,14.09,18.68,21.9,23.59,23.96,24.54,24.99,25.64,26.29,27.36,28.23,29.04,29.88,30.56,
Madagascar,,,,,,,0.01,0.01,0.02,0.02,0.03,0.03,0.14,0.17,0.11,0.1,0.11,0.1,0.1,
Malawi,,,,0,0,0,,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.05,0.03,0.05,0.06,0.06,0.06
Malaysia,,0.02,0.08,0.45,1,1.88,2.87,3.87,4.88,5.6,7.44,8.75,10.05,9.97,10.25,10.12,8.86,8.64,8.55,9.28
Maldives,,,0.06,0.17,0.23,1.02,1.92,3.1,4.47,4.35,4.25,4.64,4.55,4.9,4.56,5.09,6.16,7.36,9.13,9.94
Mali,,,,,,,0.02,0.02,0.04,0.06,0.05,0.05,0.03,0.02,,0.02,0.12,0.08,0.63,
Malta,0.42,2.31,4.43,5.67,9.34,12.7,13.03,20.59,23.98,27.62,30.39,30.81,32.18,33.56,35.23,37.64,39.27,41.4,43.67,45.24
Marshall Islands,,,,,,,,,,,,,,2.26,2.4,1.74,1.73,1.72,,
Martinique,,,,1.52,,,,1.51,1.51,1.51,1.52,,,,,,,,,
Mauritania,,,,,,0.01,0.03,0.12,0.18,0.2,0.17,0.17,0.18,0.2,0.2,0.24,0.27,0.3,0.3,0.24
Mauritius,,,0.02,0.1,0.21,0.44,2.27,2.85,4.24,5.86,7.53,9.45,11.23,12.94,14.47,15.67,16.85,19.45,21.64,
Mayotte,,,,,,,,,,,,,,,,,,,,
Mexico,0.02,0.05,0.23,0.42,1.01,1.81,2.81,4.13,6.8,8.57,9.28,10,11.15,10.73,10.83,12.11,12.91,13.62,14.55,15.03
Micronesia,,,,0.01,0.02,0.04,0.09,0.11,,,0.97,,,1.95,2.88,3.01,2.88,3.39,,
Moldova,,0.01,0.01,0.01,0.06,0.25,0.53,1.28,2.8,4.58,6.63,8.74,10.27,11.52,12.5,13.13,13.71,14.39,15.38,16.58
Monaco,2.49,8.19,14.95,19.71,22.7,28.07,32.17,35.63,37.28,38.04,38.75,44.19,44.59,45.79,47.69,48.66,48.89,50.16,51.24,52.55
Mongolia,,0,0,0.02,0.04,0.07,0.14,0.29,1.24,1.5,2.82,3.39,3.9,4.85,6.71,6.94,7.4,9.16,9.66,9.84
Montenegro,,,,,,1.24,,2.88,6.4,9.52,10.36,10.35,14.02,15.28,16.57,17.93,18.31,21.9,25.33,28.47
Montserrat,,,,,,,0.9,1.02,0.2,0.41,1.02,6.1,12.17,24.27,54.47,,,,,
Morocco,,,0.01,0.01,0.21,0.82,1.27,1.53,1.56,1.5,1.56,1.82,2.07,2.5,2.91,3.31,3.57,3.88,4.31,4.8
Mozambique,,,,,,,0.01,0.03,0.05,0.06,0.07,0.12,0.12,0.11,0.14,0.16,0.17,0.22,0.24,
Myanmar,,,,,,0,0.01,0.01,0.02,0.05,0.05,0.04,,,,0.06,0.17,0.21,0.24,
Namibia,,,,,,0.01,0.01,0.01,0.02,0.02,0.45,0.82,1.1,1.6,1.81,3.04,2.73,2.74,2.53,2.54
Nauru,,,,,,,,,,,9.5,,,,,,,,,
Nepal (Republic of),,,,,,,0,0.04,0.05,0.06,0.22,0.35,0.85,1.16,0.93,1.12,0.82,1.82,2.82,
Netherlands,1.63,2.91,7.27,12.27,19.68,25.05,31.58,33.36,35.04,36.86,37.94,38.82,39.63,40.32,40.56,41.5,42.53,42.83,43.42,43.63
